{'TIMESTAMP': '2024-04-15 10:10:42.316', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 686985', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:42.956', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 552082', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:11:00.004', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 17047243', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:11:19.959', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 19955149', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:11:22.493', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 227722', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:11:24.210', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 229755', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:11:44.933', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 209336', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:11:45.602', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 632351', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:11:45.917', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 241415', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:11:46.859', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 274768', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:11:53.365', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 274669', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:11:54.707', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 619079', 'CALLER': 'IOManager.cpp:172(pull)'}
