{'TIMESTAMP': 'null', 'LEVEL': 'null', 'MODULE': 'null', 'MESSAGE': 'null', 'CALLER': 'null'}
{'TIMESTAMP': '2024-04-15 10:11:20.253', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack 0-game0 elapsed 18.803654122s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:24.167', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack 0-game0 elapsed 14.20058939s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:04.663', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 3.213941464s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:24.829', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 14.45496806s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:04.663', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 3.214564129s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:24.924', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 11.956668761s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:06.681', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:24.951', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:09.359', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:24.998', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
