{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tClientMainPlayer onBecomePlayer\t', 'CALLER': '[onBecomePlayer]     Entities/SpaceEntities/ClientMainPlayer:276'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'NetworkEventCallback', 'MESSAGE': ' \tNetworkEventCallback:onSoulBinded\t', 'CALLER': '[bindSoulSucceedCb]     Entities/NetworkEventCallback:115'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'debug', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \t@hubo spaceClass\tClientSingleWorld\t', 'CALLER': '[onTeleportSpaceIn]     Entities/SpaceEntities/ClientMainPlayer:240'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientSingleWorld', 'MESSAGE': ' \tClientSpace create\t', 'CALLER': '[overrideFunc]     Entities/SpaceEntities/ClientSpace:65'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'debug', 'MODULE': 'ClientSingleWorld', 'MESSAGE': ' \tClientSingleWorld create\t', 'CALLER': '[overrideFunc]     Entities/SpaceEntities/ClientSingleWorld:21'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientSingleWorld', 'MESSAGE': ' \t(clientEntity (ClientSingleWorld, Z1pFL8quRPpzFIZt)) _doAfterLoaded\t', 'CALLER': '[_doAfterLoaded]     Core/Client/ClientSpaceBase:60'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'debug', 'MODULE': 'ClientSingleWorld', 'MESSAGE': ' \tClientSingleWorld init\t', 'CALLER': '[overrideFunc]     Entities/SpaceEntities/ClientSingleWorld:26'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientSingleWorld', 'MESSAGE': ' \t(clientEntity (ClientSingleWorld, Z1pFL8quRPpzFIZt)) start\t', 'CALLER': '[overrideFunc]     Entities/SpaceEntities/ClientSpace:329'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tstartClientTriggerTick success\t36\tClientMainPlayer(entityId=Z0hiqZrYVkUqGKtT, uid=32906)\t', 'CALLER': '[startClientTriggerTick]     ...ies/SpaceEntities/PlayerComponent/ClientTriggerComponent:65'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tRPC_SC_CreateMultiClientEntity false\t', 'CALLER': '[]     .../SpaceEntities/PlayerComponent/ClientDispatcherComponent:101'}
